event_id,event_name,event_type,start_year,end_year,severity,geographic_scope,affected_regions,description,source
1,4.2 Kiloyear Event,climate,-2200,-2100,severe,global,Middle East|South Asia|East Asia|North Africa,"Prolonged aridification event. Implicated in collapse of Akkadian Empire, Old Kingdom Egypt, Indus Valley civilisation",Weiss et al. 1993; deMenocal 2001
2,Late Bronze Age Drought,climate,-1200,-1150,severe,regional,Middle East|Mediterranean|North Africa,Multi-decade drought contributing to Bronze Age Collapse. Pollen and isotope evidence from Cyprus and Syria,Brandon Drake 2012; Kaniewski et al. 2013
3,Roman Climate Optimum,climate,-200,150,beneficial,regional,Europe|Middle East|North Africa,Warm stable climate correlating with Roman and Han Dynasty peaks. Agricultural surplus supported population growth,McCormick et al. 2012
4,Late Antique Little Ice Age,climate,536,660,severe,global,Europe|Middle East|Central Asia|East Asia,Volcanic winters from 536 CE eruptions caused crop failures globally. Coincides with Justinianic Plague and multiple empire weakening,Büntgen et al. 2016; Keys 1999
5,Medieval Warm Period,climate,950,1250,beneficial,regional,Europe|Middle East,Warm period enabling agricultural expansion. Correlates with population growth in Europe and the Islamic Golden Age,Mann et al. 2009
6,Little Ice Age,climate,1300,1850,moderate,global,Europe|Middle East|East Asia|Americas,Extended cooling causing crop failures and famines across multiple continents. Contributed to 17th century general crisis,Parker 2013; Fagan 2000
7,Year Without a Summer,climate,1815,1817,severe,global,Europe|Americas|East Asia,Mount Tambora eruption 1815 caused global cooling. Crop failures across Europe and North America. Context for post-Napoleonic instability,Oppenheimer 2003
8,Antonine Plague,pandemic,165,180,severe,regional,Europe|Middle East,Smallpox or measles pandemic killing 5-10M in Roman Empire. Marked beginning of Roman demographic decline,Duncan-Jones 1996
9,Plague of Cyprian,pandemic,249,262,severe,regional,Europe|Middle East|North Africa,Unknown pathogen killing 5000/day at peak in Rome. Contributed to Crisis of the Third Century,Harper 2017
10,Justinianic Plague,pandemic,541,750,catastrophic,global,Europe|Middle East|North Africa|Central Asia,First major bubonic plague pandemic. Killed 25-50M. Devastated Byzantine and Sassanid empires simultaneously,Little 2007; Harbeck et al. 2013
11,Black Death,pandemic,1347,1353,catastrophic,global,Europe|Middle East|Central Asia|East Asia|North Africa,Bubonic plague killed 30-60% of European population and devastated Middle East and Central Asia. Travelled Mongol trade routes,Benedictow 2004
12,Columbian Exchange Pandemics,pandemic,1492,1600,catastrophic,regional,Americas,"Smallpox, measles, influenza killed 50-90% of indigenous American populations. Directly enabled Spanish conquest of Aztec and Inca",Crosby 1972; Koch et al. 2019
13,Spanish Flu,pandemic,1918,1920,catastrophic,global,Europe|Americas|Asia|Africa,50-100M deaths globally. Struck at end of WWI contributing to political instability and empire collapses,Johnson & Mueller 2002
14,Sea Peoples Migrations,migration,-1200,-1150,severe,regional,Middle East|Mediterranean|North Africa,"Mass migrations and raids destroyed Hittites, Ugarit, Mycenae. Egypt survived barely. Core event of Bronze Age Collapse",Cline 2014
15,Hun Migrations into Europe,migration,370,450,severe,regional,Europe|Central Asia,Hun westward push displaced Germanic tribes into Roman territory. Directly contributed to Western Roman collapse,Heather 2006
16,Mongol Conquests,migration,1206,1279,catastrophic,global,Central Asia|Middle East|East Asia|Eastern Europe,"Largest land empire conquest in history. Destroyed Abbasid Caliphate, Jin Dynasty, Song Dynasty, Kievan Rus",Morgan 1986
17,Bronze Age Collapse,systemic_collapse,-1200,-1150,catastrophic,regional,Middle East|Mediterranean|North Africa,"Simultaneous collapse of nearly every major Bronze Age civilisation. Multi-causal: drought, migration, trade disruption, internal revolt",Cline 2014
18,Thirty Years War,war,1618,1648,severe,regional,Europe,Devastated Central Europe. Holy Roman Empire lost up to 8M people. Began HRE terminal decline,Wilson 2009
19,World War I,war,1914,1918,catastrophic,global,Europe|Middle East|Africa|Asia,"17-20M dead. Destroyed Ottoman, Austro-Hungarian, Russian, and German Empires simultaneously. Most destructive collapse cluster in modern history",MacMillan 2013
20,World War II,war,1939,1945,catastrophic,global,Europe|Asia|Africa|Americas,"70-85M dead. Destroyed German, Italian, Japanese empires. Fatally weakened British and French colonial empires",Overy 2013
